,Artist,Rank,Song Title,Year
528,Neil Sedaka,91,Breaking Up Is Hard To Do,1976
529,Bay City Rollers,92,Money Honey,1976
530,Parliament,93,Tear The Roof Off The Sucker,1976
531,Larry Groce,94,Junk Food Junkie,1976
532,Barry Manilow,95,Tryin' To Get The Feeling Again,1976
533,KISS,96,Rock And Roll All Night (Live Version),1976
534,Rick Dees,97,Disco Duck,1976
535,The Steve Miller Band,98,Take The Money And Run,1976
536,The Who,99,Squeeze Box,1976
537,Glen Campbell,100,Country Boy (you Got Your Feet In L.a.),1976
538,Rod Stewart,1,Tonight's The Night (Gonna Be Alright),1977
539,Andy Gibb,2,I Just Want To Be Your Everything,1977
540,The Emotions,3,Best Of My Love,1977
541,Hot,5,Angel In Your Arms,1977
542,Kenny Nolan,6,I Like Dreamin',1977
543,Thelma Houston,7,DON't LEAVE ME THIS WAY,1977
544,Rita Coolidge,8,(Your Love Has Lifted Me) Higher And Higher,1977
545,Alan O'Day,9,Undercover Angel,1977
546,Mary Macgregor,10,Torn Between Two Lovers,1977
547,ABBA,12,Dancing Queen,1977
548,Leo Sayer,13,You Make Me Feel Like Dancing,1977
549,Jimmy Buffett,14,Margaritaville,1977
550,Electric Light Orchestra,15,Telephone Line,1977
551,Pablo Cruise,16,Whatcha Gonna Do?,1977
552,Stevie Wonder,18,Sir Duke,1977
553,Eagles,19,Hotel California,1977
554,Marvin Gaye,20,Got To Give It Up (Pt. 1),1977
555,Bill Conti,21,Theme From Rocky (gonna Fly Now),1977
556,Glen Campbell,22,Southern Nights,1977
557,Leo Sayer,24,When I Need You,1977
558,The Sylvers,25,Hot Line,1977
559,Rose Royce,26,Car Wash,1977
